timestamp,cpuLoad,systemLoadAvg,commitedHeap,systemLoad,threads,users,totalRequests,rejections,requests,hits,hits_last_min,bw,netdata_STATS_GNODEB_bps_average
1665151590.1860912,0.04571197411003236,0.23,88.5,0.042874477551570714,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2897283,['192.168.22.212'],133,2984082,246,16.58260294596354,18440171.15
1665151650.3279202,0.047376191115286535,0.33,88.5,0.04496040799892632,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2897417,['192.168.22.212'],134,2984326,238,16.403972880045572,18338958.900000002
1665151710.4867291,0.04542490762877635,0.63,88.5,0.05346663768745925,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2897561,['192.168.22.212'],144,2984592,262,17.063269551595052,18609810.733333327
1665151770.6719685,0.0469309293384595,0.36,88.5,0.04560519687127138,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2897702,['192.168.22.212'],141,2984850,264,15.61393076578776,17386420.11666665
1665151830.8044605,0.048178458289334744,0.13,88.5,0.04659450897571278,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2897842,['192.168.22.212'],140,2985106,252,16.204768880208334,17887819.533333324
1665151890.9762993,0.045949849021924644,0.22,88.5,0.044243140343967445,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2897983,['192.168.22.212'],141,2985366,264,16.64917958577474,18240241.01666665
1665151951.1381717,0.05004573369920293,0.19,88.5,0.04664837318698549,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2898128,['192.168.22.212'],145,2985632,258,16.220450846354165,17872279.4
1665152011.263997,0.049980627663696243,0.23,88.5,0.06625339015885315,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2898275,['192.168.22.212'],147,2985904,270,16.076620483398436,18102913.116666675
1665152071.4401793,0.05003878975950349,0.08,88.5,0.06322730799069046,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2898423,['192.168.22.212'],148,2986175,270,16.67379353841146,18197994.43333335
1665152131.6312118,0.04845758354755784,0.15,88.5,0.046798662895345844,499,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2898563,['192.168.22.212'],140,2986434,270,16.662884012858072,17978786.400000025
1665152191.810207,0.047619047619047616,0.13,88.5,0.04569240587109126,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2898710,['192.168.22.212'],147,2986704,264,16.99638214111328,19402807.766666677
1665152251.939268,0.046656496313246885,0.17,88.5,0.04423541375365451,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2898852,['192.168.22.212'],142,2986964,262,16.845291137695312,19161347.111111134
1665152312.062708,0.04822784810126582,0.32,88.5,0.047341772151898734,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2898994,['192.168.22.212'],142,2987226,260,17.496507771809895,19987549.2888889
1665152372.2073882,0.03794308537194209,0.48,88.5,0.09435846230654019,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2899124,['192.168.22.212'],130,2987462,252,16.432635498046874,17398525.73333333
1665152432.345006,0.04205900816070308,0.21,88.5,0.040175768989328314,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2899247,['192.168.22.212'],123,2987692,226,15.17937774658203,16795934.244444434
1665152492.4873567,0.04251594347880455,0.14,88.5,0.04014005251969488,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2899373,['192.168.22.212'],126,2987914,226,15.795612080891926,18092568.177777767
1665152552.642418,0.04228855721393035,0.37,88.5,0.04116403432408905,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2899493,['192.168.22.212'],120,2988132,208,14.8397705078125,16027765.266666666
1665152612.8018172,0.043483647175421206,0.2,88.5,0.04149634584417193,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2899623,['192.168.22.212'],130,2988368,234,15.366500854492188,17274713.822222233
1665152672.9045897,0.0433382862803368,0.15,88.5,0.05460624071322437,499,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2899758,['192.168.22.212'],135,2988616,246,15.910740661621094,17746246.51111113
1665152733.0791101,0.044264109184802655,0.25,88.5,0.04291687161829808,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2899891,['192.168.22.212'],133,2988858,242,15.124434407552084,16765399.955555534
1665152793.2037547,0.046759941089838,0.09,88.5,0.04479626902307315,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2900022,['192.168.22.212'],131,2989096,234,15.476624552408854,16881554.400000032
1665152853.438973,0.041960593529554856,0.28,88.5,0.03977618294611361,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2900152,['192.168.22.212'],130,2989334,250,15.983069864908854,17323526.6222222
1665152913.6029258,0.043709892238769824,0.26,88.5,0.041409371594624045,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2900277,['192.168.22.212'],125,2989560,224,14.537325541178385,16157937.888888866
1665152973.7621071,0.041127654381254576,0.25,88.5,0.04527703197461557,499,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2900399,['192.168.22.212'],122,2989782,224,14.312590535481771,15664719.888888901
1665153033.9662523,0.04362376000956137,0.2,88.5,0.042309071351738975,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2900530,['192.168.22.212'],131,2990020,236,15.108919779459635,16975380.733333334
1665153094.1392179,0.04127512786963245,0.33,88.5,0.0390151064589033,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2900654,['192.168.22.212'],124,2990250,224,14.1389892578125,15630076.955555534
