timestamp,cpuLoad,systemLoadAvg,commitedHeap,systemLoad,threads,users,totalRequests,rejections,requests,hits,hits_last_min,bw
1664082778.1292021,0.17638797865368414,0.94,88,0.16571482070967136,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1418334,['192.168.22.212'],602,1351468,574,4.967706743876139
1664082838.2342227,0.1794413617981755,0.95,88,0.19552337063857803,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1418962,['192.168.22.212'],637,1352068,608,5.157772890726725
1664082898.390928,0.1745780098852933,1.07,88,0.16320059684789703,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1419594,['192.168.22.212'],624,1352670,596,5.085461616516113
1664082958.548726,0.18021201413427562,1.21,88,0.4028268551236749,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1420227,['192.168.22.212'],632,1353276,602,5.210818862915039
1664083018.6635268,0.1789208834218619,0.92,88,0.16503587736464448,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1420844,['192.168.22.212'],629,1353864,600,5.097705459594726
1664083078.7418013,0.17533915629065228,0.98,88,0.19624605091990335,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1421475,['192.168.22.212'],621,1354466,594,5.061591529846192
1664083138.9176564,0.17686760355029585,0.74,88,0.16568047337278108,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1422105,['192.168.22.212'],627,1355068,598,5.134846115112305
1664083199.0863423,0.17247723300524329,0.68,88,0.1628185079569497,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1422734,['192.168.22.212'],629,1355666,602,5.119160588582357
1664083259.218188,0.16788990825688074,0.7,88,0.15870103660214657,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1423349,['192.168.22.212'],625,1356253,596,5.125620524088542
1664083319.316587,0.18023025009924573,0.94,88,0.36547619047619045,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1423977,['192.168.22.212'],611,1356852,582,4.962558237711589
1664083379.496932,0.17720131530873218,0.97,88,0.167427840701498,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1424610,['192.168.22.212'],629,1357458,600,5.117739550272623
1664083439.6485274,0.17394065874240086,0.95,88,0.16686326104709193,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1425231,['192.168.22.212'],633,1358050,605,5.161852137247721
1664083499.8409734,0.16910229645093944,0.71,88,0.1580285014069166,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1425856,['192.168.22.212'],618,1358646,591,5.075570805867513
1664083560.012171,0.17231102682199945,0.63,88,0.1626331948708687,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1426476,['192.168.22.212'],621,1359237,592,5.061245981852213
1664083620.1711245,0.17438716654650324,0.81,88,0.16267123287671234,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1427095,['192.168.22.212'],619,1359828,590,5.024300702412924
1664083680.3102365,0.16788595010317015,0.95,88,0.2121553179516038,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1427714,['192.168.22.212'],617,1360418,588,5.049011866251628
1664083740.4137778,0.17276222838236607,0.76,88,0.16390950549941877,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1428343,['192.168.22.212'],623,1361018,594,5.116853014628092
1664083800.5439377,0.16659230837869188,0.63,88,0.15758008387614883,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1428959,['192.168.22.212'],624,1361606,594,5.129335912068685
1664083860.709712,0.17210048102618922,0.78,88,0.16053452115812916,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1429579,['192.168.22.212'],617,1362198,590,5.012105433146159
1664083920.8135526,0.17567567567567566,1.1,88,0.45945945945945943,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1430197,['192.168.22.212'],616,1362786,587,5.026614697774251
1664083980.9803782,0.17094469436358825,0.77,88,0.1642409808591338,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1430824,['192.168.22.212'],621,1363386,593,5.037161254882813
1664084041.1573129,0.16581542796759421,0.7,88,0.1567453328636844,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1431432,['192.168.22.212'],621,1363964,592,5.0888013203938804
1664084101.2946794,0.17462831002023402,0.85,88,0.16415940881499078,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1432070,['192.168.22.212'],612,1364574,584,5.0256805419921875
1664084161.45154,0.17547252747252745,1.08,88,0.1971868131868132,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1432705,['192.168.22.212'],630,1365180,600,5.114705975850423
1664084221.588084,0.1639888229130283,1.22,88,0.15525672371638144,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1433307,['192.168.22.212'],636,1365754,608,5.204283142089844
1664084281.7701,0.1719673270768161,0.88,88,0.1643204727146333,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",1433930,['192.168.22.212'],601,1366348,572,4.909395408630371
